,rat,sess,sh,clu,nonuniform_norm_spk_times_D,nonuniform_norm_spk_times_p,mwu_normtime_rdsym_p,norm_spktime_asym_mode,norm_spktime_sym_mode,mwu_trough_time_rdsym_p,trough_spike_asym_mode,trough_spike_sym_mode,pha_spike_asym_mode,pha_spike_sym_mode
0,ec013,ec013.426,4,2,0.21532776658028602,0.0,0.40353380903695324,0.7250000000000001,0.675,0.24793900176392875,0.004999999999999942,0.034999999999999934,-1.7278759594743862,-2.356194490192345
1,ec013,ec013.426,4,3,0.16506880672178387,6.372680161348399e-13,0.4808210783254643,0.875,0.8250000000000001,0.15897707278078005,-0.08500000000000002,0.05499999999999991,-2.0420352248333655,-0.15707963267948966
2,ec013,ec013.426,4,4,0.128786435511526,0.005633438398242152,0.01887383456740667,0.7250000000000001,0.525,0.06629673570147646,-0.005000000000000053,-0.005000000000000053,-2.356194490192345,2.670353755551324
3,ec013,ec013.426,4,6,0.09577662769152134,0.0007902456017625514,0.2827133567450951,0.925,0.875,0.2967795256284228,0.034999999999999934,-0.05500000000000003,-0.15707963267948966,-0.7853981633974483
4,ec013,ec013.426,4,7,0.12286754839946329,0.006826736929750332,0.0016206482108947244,0.675,0.475,0.017084345957953894,-0.005000000000000053,-0.005000000000000053,2.9845130209103035,-2.9845130209103035
5,ec013,ec013.426,4,9,0.16396266474382087,0.0,0.12105054498735873,0.8250000000000001,0.8250000000000001,0.16023672872171857,0.014999999999999937,0.044999999999999915,-1.413716694115407,-1.413716694115407
6,ec013,ec013.426,4,10,0.07410211673305461,2.7507457645015165e-08,0.09244258663992166,0.675,0.7250000000000001,0.351651919532494,0.004999999999999942,0.034999999999999934,-2.670353755551324,-2.356194490192345
7,ec013,ec013.426,5,5,0.10181390102744581,0.0,0.0008595814870836671,0.8250000000000001,0.7250000000000001,0.2861339802954176,0.014999999999999937,0.034999999999999934,-2.356194490192345,-2.0420352248333655
8,ec013,ec013.426,5,6,0.19845353024846407,1.1657341758564144e-13,0.056049474563060114,0.125,0.07500000000000001,0.10931450843965573,0.06499999999999992,0.0849999999999999,1.0995574287564276,0.47123889803846897
9,ec013,ec013.426,5,7,0.06917331522661685,0.3683764716101068,0.07955656523117394,0.675,0.17500000000000002,0.054891615682580844,0.014999999999999937,-0.015000000000000048,-2.670353755551324,1.413716694115407
10,ec013,ec013.426,5,9,0.054745296977383215,0.8840924131894592,0.13322532483918237,0.42500000000000004,0.7250000000000001,0.01810286275083995,-0.025000000000000043,0.05499999999999991,1.413716694115407,-1.413716694115407
11,ec013,ec013.426,5,10,0.03959064606989604,3.1770456098701343e-09,0.3451459254524332,0.8250000000000001,0.8250000000000001,0.11817998134772467,0.014999999999999937,0.05499999999999991,-2.0420352248333655,-1.413716694115407
12,ec013,ec013.426,5,11,0.1547175749572809,4.687337225902281e-259,2.4054678573363678e-05,0.42500000000000004,0.32500000000000007,0.38720991068666577,-0.03500000000000004,-0.005000000000000053,2.0420352248333655,2.356194490192345
13,ec013,ec013.426,5,12,0.12731842171399854,0.0,0.1038456825622176,0.8250000000000001,0.875,0.12784877498571723,0.014999999999999937,0.044999999999999915,-2.356194490192345,-1.413716694115407
14,ec013,ec013.426,5,13,0.16099773242630389,0.0,0.02712219603367214,0.8250000000000001,0.775,0.4958989593739405,0.02499999999999994,-0.08500000000000002,-1.413716694115407,-1.413716694115407
15,ec013,ec013.426,5,14,0.11056998556998554,6.885336745199311e-09,0.012634022741525143,0.7250000000000001,0.625,0.003463548179239696,0.034999999999999934,-0.08500000000000002,-0.7853981633974483,-1.7278759594743862
16,ec013,ec013.426,5,15,0.1325620767494356,3.002653543582312e-07,0.31251533599872977,0.7250000000000001,0.775,0.1111472449957513,0.014999999999999937,0.07499999999999991,-2.670353755551324,-1.7278759594743862
17,ec013,ec013.426,5,16,0.14781303791322775,0.0014246365130261562,0.2651353804757265,0.8250000000000001,0.925,0.2996026845133033,-0.08500000000000002,0.05499999999999991,-0.47123889803846897,-1.413716694115407
18,ec013,ec013.426,6,3,0.2522696542399072,3.514964319606406e-09,0.19334141710537722,0.125,0.07500000000000001,0.49696158696401066,-0.06500000000000003,0.0849999999999999,0.7853981633974483,1.413716694115407
19,ec013,ec013.426,6,5,0.0653243308415723,0.00010930752177329417,0.009046559681247061,0.875,0.675,0.004594699883011088,0.014999999999999937,-0.07500000000000001,-0.47123889803846897,-2.0420352248333655
20,ec013,ec013.426,6,6,0.04350980302125895,0.113079079634828,0.43826456893493143,0.7250000000000001,0.07500000000000001,0.1321501075038325,0.014999999999999937,0.07499999999999991,-2.356194490192345,-0.7853981633974483
21,ec013,ec013.426,6,7,0.18854252119223408,2.0133398702437688e-05,0.40583888978375726,0.625,0.7250000000000001,0.12631012788048512,0.004999999999999942,0.034999999999999934,-2.670353755551324,-2.0420352248333655
22,ec013,ec013.426,6,8,0.08517425252332889,8.313350008393172e-13,0.07278927741285524,0.7250000000000001,0.675,0.26960362800372517,0.004999999999999942,0.02499999999999994,-2.9845130209103035,-2.356194490192345
23,ec013,ec013.426,6,11,0.16162369125470133,3.5427012925193646e-122,0.12350968331687084,0.375,0.375,0.07905418953529014,-0.03500000000000004,-0.015000000000000048,1.7278759594743862,2.356194490192345
24,ec013,ec013.426,6,12,0.053125392571500396,4.7184317135684495e-06,0.12493156699831465,0.775,0.5750000000000001,0.40790365900127684,0.02499999999999994,0.014999999999999937,-2.0420352248333655,-2.670353755551324
25,ec013,ec013.426,6,13,0.1338319907940161,0.0006748622404559868,0.21970920237860142,0.475,0.475,0.24781427227457004,-0.025000000000000043,0.004999999999999942,2.9845130209103035,-2.670353755551324
26,ec013,ec013.426,6,14,0.08952761650962854,2.3092638912203256e-14,0.007177774876894235,0.775,0.625,0.39464257046976964,0.004999999999999942,0.034999999999999934,-2.356194490192345,-2.0420352248333655
27,ec013,ec013.426,6,15,0.049607433131599765,1.8888949115503095e-05,0.020555217784090928,0.875,0.475,0.3757240217198796,0.02499999999999994,-0.005000000000000053,-1.0995574287564276,2.670353755551324
28,ec013,ec013.426,6,16,0.09137124754864984,3.2862601528904634e-14,0.104637371236454,0.875,0.7250000000000001,0.1814917463054223,0.02499999999999994,0.034999999999999934,-0.7853981633974483,-2.0420352248333655
29,ec013,ec013.426,6,17,0.06708857233066506,1.3223344641488666e-09,0.19176146690170515,0.625,0.775,0.45308330266469626,0.004999999999999942,0.034999999999999934,-2.0420352248333655,-1.7278759594743862
30,ec013,ec013.426,6,18,0.07190760242531363,2.3995294640144493e-10,2.0077712179962e-06,0.8250000000000001,0.7250000000000001,0.00315773630522489,0.014999999999999937,0.02499999999999994,-2.0420352248333655,-2.356194490192345
31,ec013,ec013.426,6,19,0.08981496340003214,1.8514910271605345e-08,0.34086243692114904,0.525,0.5750000000000001,0.4523289085685953,-0.005000000000000053,0.014999999999999937,2.356194490192345,-2.670353755551324
32,ec013,ec013.426,6,20,0.08235571075450232,4.063416270128073e-14,0.10109130621652812,0.5750000000000001,0.475,0.01307075329471271,-0.005000000000000053,-0.005000000000000053,2.670353755551324,-2.9845130209103035
33,ec013,ec013.426,6,21,0.34070548280031904,0.0,5.047756443048407e-104,0.8250000000000001,0.775,2.2884657148536342e-23,0.014999999999999937,0.034999999999999934,-2.0420352248333655,-1.7278759594743862
34,ec013,ec013.426,7,2,0.07762557077625576,0.1354976077381953,0.4849829838083622,0.775,0.7250000000000001,0.07243288990920789,0.004999999999999942,0.07499999999999991,-2.356194490192345,-2.0420352248333655
35,ec013,ec013.426,7,4,0.13602579434159334,0.0,0.01107521312667562,0.7250000000000001,0.675,0.35414545617542437,0.014999999999999937,0.034999999999999934,-2.670353755551324,-1.413716694115407
36,ec013,ec013.426,7,5,0.046887480847894625,1.9239584438794367e-09,0.3072096874414577,0.625,0.5750000000000001,0.152559882333481,-0.005000000000000053,0.014999999999999937,2.670353755551324,-2.670353755551324
37,ec013,ec013.426,7,6,0.06679661317287766,8.106239388627756e-07,0.242146336996808,0.525,0.525,0.04860297008056519,0.05499999999999991,-0.05500000000000003,2.9845130209103035,2.670353755551324
38,ec013,ec013.426,7,7,0.07328950572193815,7.693165950950487e-07,0.42858395692216494,0.625,0.5750000000000001,0.06978164148546105,0.004999999999999942,0.004999999999999942,2.9845130209103035,2.9845130209103035
39,ec013,ec013.482,4,2,0.05558326682628362,0.003790416916021222,0.025473740054495455,0.7250000000000001,0.525,0.035809983672613656,0.004999999999999942,-0.005000000000000053,-2.356194490192345,2.670353755551324
40,ec013,ec013.482,4,4,0.042024857093915124,0.0020953973722821484,0.3155722268277538,0.625,0.675,0.23375055003970208,0.004999999999999942,0.02499999999999994,-2.9845130209103035,-2.356194490192345
41,ec013,ec013.482,4,9,0.027931991672449752,0.022283587415001343,0.010614908152631476,0.125,0.5750000000000001,0.4906000437762581,0.004999999999999942,0.014999999999999937,-2.670353755551324,-2.356194490192345
42,ec013,ec013.482,4,13,0.05863775863775861,4.992333030897185e-12,0.22434104329010596,0.5750000000000001,0.525,0.2581170507936553,-0.005000000000000053,0.004999999999999942,2.9845130209103035,-2.9845130209103035
43,ec013,ec013.482,5,4,0.033368740862573076,0.1999744487571451,0.010908370758448123,0.625,0.42500000000000004,0.18523490363409628,0.014999999999999937,-0.015000000000000048,-2.670353755551324,0.15707963267948966
44,ec013,ec013.482,5,5,0.03797547761619616,9.645999193296183e-17,0.429069403871585,0.07500000000000001,0.125,0.0018883236367181824,0.05499999999999991,-0.05500000000000003,0.15707963267948966,0.47123889803846897
45,ec013,ec013.482,5,6,0.2545657342452083,0.0,0.002715129696272843,0.775,0.7250000000000001,0.00943697261033628,0.014999999999999937,0.02499999999999994,-2.356194490192345,-2.0420352248333655
46,ec013,ec013.482,5,7,0.1087825410299943,5.493383525845275e-13,0.3824417530158134,0.8250000000000001,0.8250000000000001,0.40055177091996924,0.014999999999999937,-0.08500000000000002,-2.356194490192345,-0.7853981633974483
47,ec013,ec013.482,5,9,0.02688800561140986,0.0017043744071562168,4.3310189134534366e-05,0.7250000000000001,0.625,0.1528740037571733,0.014999999999999937,0.014999999999999937,-2.0420352248333655,-2.0420352248333655
48,ec013,ec013.482,5,10,0.02451930265243263,0.011925877293948324,0.12745008022054471,0.7250000000000001,0.125,0.41576415438772674,-0.05500000000000003,0.014999999999999937,-2.670353755551324,-2.670353755551324
49,ec013,ec013.482,5,11,0.09288988044717122,7.549516567451064e-15,0.000977276116260114,0.07500000000000001,0.07500000000000001,0.0007960827796325463,-0.07500000000000001,0.07499999999999991,0.47123889803846897,0.15707963267948966
50,ec013,ec013.482,5,13,0.05866613418530353,2.1376415207738665e-15,0.03979146087609428,0.8250000000000001,0.7250000000000001,0.37406991311047433,0.02499999999999994,0.05499999999999991,-2.0420352248333655,-1.7278759594743862
51,ec013,ec013.482,5,14,0.13996234398363316,0.0,6.167491847503862e-33,0.375,0.275,0.13275162300239357,-0.03500000000000004,-0.015000000000000048,2.0420352248333655,2.0420352248333655
52,ec013,ec013.482,5,16,0.054737691686844225,4.7455535063800625e-05,0.16006199187441883,0.525,0.625,0.12411374140332054,-0.005000000000000053,0.004999999999999942,2.670353755551324,-2.9845130209103035
53,ec013,ec013.482,6,3,0.21693769306988397,0.0,0.018467314706350078,0.32500000000000007,0.17500000000000002,0.12194620384792937,-0.03500000000000004,-0.025000000000000043,1.413716694115407,1.7278759594743862
54,ec013,ec013.482,6,6,0.32511590584878747,0.0,2.843665287901369e-155,0.775,0.7250000000000001,1.1878022223573438e-24,0.014999999999999937,0.034999999999999934,-2.356194490192345,-2.0420352248333655
55,ec013,ec013.482,6,7,0.3473995271867612,0.0,0.02053389313981264,0.07500000000000001,0.125,0.0011523404424801582,0.05499999999999991,0.07499999999999991,0.47123889803846897,0.7853981633974483
56,ec013,ec013.482,6,8,0.07014154552410101,1.255884285455977e-11,0.03665518798444161,0.07500000000000001,0.125,0.029220513488469293,0.05499999999999991,0.0849999999999999,1.0995574287564276,0.15707963267948966
57,ec013,ec013.482,6,9,0.07775214176140044,2.3440831607090117e-236,3.657204858837389e-12,0.5750000000000001,0.475,0.12570999286295614,-0.015000000000000048,-0.005000000000000053,2.670353755551324,2.9845130209103035
58,ec013,ec013.482,6,11,0.0216433161795484,0.21304748009084568,0.0013589269345623408,0.7250000000000001,0.525,0.3696244107140398,0.02499999999999994,-0.015000000000000048,-2.356194490192345,2.670353755551324
59,ec013,ec013.482,6,12,0.08170320875521142,1.7027664296995296e-17,0.10282231889970606,0.8250000000000001,0.5750000000000001,0.23282774474818757,0.034999999999999934,0.034999999999999934,-0.7853981633974483,-2.356194490192345
60,ec013,ec013.482,6,13,0.03800382130834323,3.519613405282175e-05,0.38378741430088537,0.675,0.775,0.2842841665096335,0.014999999999999937,0.034999999999999934,-2.356194490192345,-2.0420352248333655
61,ec013,ec013.482,7,2,0.07791733120680489,0.23804787234312785,0.2542375882531283,0.225,0.5750000000000001,0.0638640560050232,0.07499999999999991,0.004999999999999942,-2.9845130209103035,-2.9845130209103035
62,ec013,ec013.482,7,4,0.09164186507936511,0.21908840277334907,0.15209621759831066,0.5750000000000001,0.5750000000000001,0.23653940403975665,-0.005000000000000053,0.004999999999999942,2.356194490192345,2.9845130209103035
63,ec013,ec013.482,7,7,0.16269609276040142,4.83548987e-315,2.995346306254876e-60,0.625,0.525,0.012541331539666013,-0.005000000000000053,0.004999999999999942,2.9845130209103035,2.9845130209103035
64,ec013,ec013.482,7,10,0.08271811802179935,5.45538997323014e-05,0.024659121443745775,0.7250000000000001,0.675,0.14754905992848372,-0.005000000000000053,0.02499999999999994,-2.356194490192345,-2.0420352248333655
65,ec013,ec013.482,7,11,0.13587821815718154,1.3823704904694543e-84,0.37069671746170735,0.775,0.675,0.030459962020145635,0.014999999999999937,0.044999999999999915,-2.356194490192345,-1.0995574287564276
66,ec013,ec013.658,4,6,0.1954935347586737,1.2186753162168884e-07,0.31113476243299165,0.8250000000000001,0.925,0.33016705068476665,0.02499999999999994,-0.05500000000000003,-0.15707963267948966,-0.15707963267948966
67,ec013,ec013.658,4,7,0.1570150039484075,0.0027496738962302647,0.19131907091731193,0.8250000000000001,0.8250000000000001,0.28444782167338195,0.014999999999999937,-0.04500000000000003,-2.670353755551324,-1.413716694115407
68,ec013,ec013.658,4,10,0.0820225120600322,3.930102772585176e-33,0.0710763639284364,0.775,0.875,0.4405360589192481,0.004999999999999942,0.05499999999999991,-2.0420352248333655,-0.47123889803846897
69,ec013,ec013.658,4,14,0.09667543177413185,1.546241843453089e-07,0.33641937998154436,0.775,0.8250000000000001,0.09983362529224199,0.004999999999999942,0.05499999999999991,-2.356194490192345,-1.0995574287564276
70,ec013,ec013.658,4,16,0.2384021643988224,1.3827677292077567e-07,0.3654879122242599,0.8250000000000001,0.7250000000000001,0.12669863046188007,0.02499999999999994,0.05499999999999991,-2.0420352248333655,-0.47123889803846897
71,ec013,ec013.658,5,3,0.11724137931034484,0.0006260303133371892,0.2050020002328231,0.875,0.775,0.4572820702940569,0.014999999999999937,0.02499999999999994,-1.7278759594743862,-1.7278759594743862
72,ec013,ec013.658,5,6,0.09812409812409817,8.841937167005694e-23,0.04346894460924655,0.125,0.875,0.0044265231759085515,-0.08500000000000002,0.07499999999999991,-1.7278759594743862,-1.413716694115407
73,ec013,ec013.658,5,10,0.2843764817449029,9.903189379656396e-13,0.24406499539344378,0.775,0.875,5.780754682363064e-05,-0.08500000000000002,0.05499999999999991,-0.15707963267948966,-1.413716694115407
74,ec013,ec013.658,5,11,0.13663352665009665,0.0008771805912597408,0.24224754241438634,0.8250000000000001,0.5750000000000001,0.3412753292173869,0.004999999999999942,-0.07500000000000001,-2.9845130209103035,-2.356194490192345
75,ec013,ec013.658,5,13,0.08510638297872342,1.143453685514828e-06,0.057386972742568695,0.07500000000000001,0.875,0.19979009635970602,-0.08500000000000002,-0.06500000000000003,-1.7278759594743862,-1.413716694115407
76,ec013,ec013.658,5,15,0.1068358120460497,2.503997009739578e-11,0.012678987005359244,0.8250000000000001,0.775,0.04412127619375294,0.014999999999999937,0.06499999999999992,-2.0420352248333655,-1.413716694115407
77,ec013,ec013.658,5,16,0.08523409363745493,0.05935557457612184,0.338026310634415,0.875,0.875,0.28327015795919275,0.014999999999999937,0.07499999999999991,-1.413716694115407,1.0995574287564276
78,ec013,ec013.658,5,17,0.14937106918238985,0.0,0.2738174300310221,0.8250000000000001,0.875,0.0035853746895019283,-0.08500000000000002,0.06499999999999992,-1.7278759594743862,0.15707963267948966
79,ec013,ec013.658,5,19,0.12464046021093,0.009839557781988972,0.2375323355166472,0.925,0.925,0.00266088038169385,-0.08500000000000002,0.0849999999999999,-0.7853981633974483,0.15707963267948966
80,ec013,ec013.658,5,20,0.09991892987434131,0.0,0.3933832452917441,0.775,0.8250000000000001,0.32843919884527195,0.034999999999999934,0.06499999999999992,-2.356194490192345,-1.7278759594743862
81,ec013,ec013.658,6,3,0.15374959507612568,1.5159951849419429e-07,0.41346520714473783,0.775,0.7250000000000001,0.2849873474817109,0.014999999999999937,-0.07500000000000001,-2.670353755551324,-1.7278759594743862
82,ec013,ec013.658,6,8,0.07609020643859943,4.4226895222242424e-30,0.3875021875601239,0.775,0.775,0.04111924985669859,0.004999999999999942,0.044999999999999915,-2.9845130209103035,-1.7278759594743862
83,ec013,ec013.658,6,9,0.0770656517528418,0.0,7.595844206246034e-12,0.5750000000000001,0.475,1.0756967425902726e-24,-0.005000000000000053,0.004999999999999942,2.9845130209103035,2.9845130209103035
84,ec013,ec013.658,6,10,0.07463817534288097,0.11860895193995247,0.48696813406798845,0.775,0.5750000000000001,0.26314181000598014,0.014999999999999937,0.014999999999999937,-2.0420352248333655,-2.9845130209103035
85,ec013,ec013.658,6,12,0.12815618581298366,7.434408124384895e-05,0.00013188195708539795,0.675,0.675,0.0006269436640728864,0.004999999999999942,-0.06500000000000003,-2.356194490192345,-1.413716694115407
86,ec013,ec013.658,6,13,0.09401359687775396,4.440892098500626e-16,0.006131909762181127,0.875,0.8250000000000001,0.3818755439626558,0.034999999999999934,0.05499999999999991,-1.413716694115407,-1.7278759594743862
87,ec013,ec013.658,6,15,0.13140808446930896,0.0,0.4462996853901566,0.925,0.875,3.185486329980041e-05,0.034999999999999934,0.07499999999999991,-0.7853981633974483,-0.47123889803846897
88,ec013,ec013.658,6,18,0.11104148442231343,0.0,0.09624370356025086,0.875,0.8250000000000001,0.05582780405933805,0.034999999999999934,-0.05500000000000003,-0.47123889803846897,-0.7853981633974483
89,ec013,ec013.658,7,6,0.1085943042464782,1.1888541216142912e-05,0.0004424639575333836,0.775,0.625,0.1397455879183595,0.014999999999999937,0.034999999999999934,-2.356194490192345,-2.356194490192345
90,ec013,ec013.658,7,11,0.09222170470423852,0.0,0.13035389259480762,0.775,0.7250000000000001,0.01692893358480474,0.014999999999999937,0.05499999999999991,-2.356194490192345,-2.0420352248333655
91,ec013,ec013.658,7,12,0.12080490303314412,1.7165446841715948e-10,0.16562848340493946,0.875,0.875,0.24497713147183325,0.014999999999999937,-0.07500000000000001,-1.7278759594743862,-1.0995574287564276
92,ec013,ec013.658,7,13,0.04067348598598597,0.0026152640587429055,8.299421459956947e-08,0.775,0.17500000000000002,0.11157429537279867,0.014999999999999937,-0.04500000000000003,-1.7278759594743862,2.0420352248333655
93,ec013,ec013.658,7,14,0.09990690313270956,1.70174985214544e-12,0.23966370919285002,0.7250000000000001,0.775,0.25760480884494036,0.014999999999999937,-0.08500000000000002,-2.9845130209103035,-1.7278759594743862
94,ec013,ec013.658,7,16,0.08924669594178924,0.0,0.05576447138920222,0.775,0.8250000000000001,0.4860888740322517,0.014999999999999937,0.034999999999999934,-1.7278759594743862,-1.413716694115407
95,ec013,ec013.658,7,17,0.14564749034061575,3.495204126124918e-11,0.24822651206978996,0.775,0.8250000000000001,0.05201641931489128,0.014999999999999937,0.034999999999999934,-2.0420352248333655,-1.7278759594743862
96,ec013,ec013.658,7,18,0.03934959349593492,0.00014635806401491308,8.40946759579574e-05,0.8250000000000001,0.225,0.0018626842412331024,0.034999999999999934,0.004999999999999942,-2.670353755551324,1.7278759594743862
97,ec013,ec013.658,7,20,0.12082277582199097,4.981726142716525e-11,0.17215565865252935,0.8250000000000001,0.7250000000000001,0.16834555948893437,0.034999999999999934,0.044999999999999915,-1.7278759594743862,-2.0420352248333655
98,ec013,ec013.658,7,21,0.14892213642213642,0.0,0.0005502037079562446,0.8250000000000001,0.775,0.11100842966166441,0.014999999999999937,0.044999999999999915,-1.7278759594743862,-1.7278759594743862
99,ec014,ec014.183,0,2,0.12357567929141489,2.403455212629524e-11,4.0714743460763315e-25,0.675,0.225,1.4705241418134922e-08,-0.005000000000000053,-0.005000000000000053,2.9845130209103035,2.670353755551324
100,ec014,ec014.183,0,3,0.15236209396437927,2.6978419498391304e-13,4.2900744340734263e-07,0.475,0.275,0.18944359758775575,-0.005000000000000053,-0.015000000000000048,2.670353755551324,2.0420352248333655
101,ec014,ec014.183,0,4,0.10163493840985444,1.749128952788226e-08,0.0349762217783109,0.8250000000000001,0.42500000000000004,0.10201937792377613,0.014999999999999937,0.014999999999999937,-1.7278759594743862,-2.670353755551324
102,ec014,ec014.183,0,5,0.06955128205128214,0.04379020652755172,0.04994689048654817,0.125,0.275,0.07396648774188991,0.0849999999999999,-0.015000000000000048,1.0995574287564276,-2.356194490192345
103,ec014,ec014.183,0,6,0.1152296535052377,0.04977228638328768,0.26971334582541406,0.42500000000000004,0.5750000000000001,0.3691812959047231,-0.015000000000000048,0.004999999999999942,2.670353755551324,-2.9845130209103035
104,ec014,ec014.183,0,7,0.07710206879864501,1.6638757040406282e-256,0.0001100305622217543,0.675,0.5750000000000001,1.975721324295704e-16,0.004999999999999942,0.004999999999999942,-2.9845130209103035,-2.670353755551324
105,ec014,ec014.183,0,8,0.10919017288444033,0.0,0.28743877888003466,0.875,0.875,0.4920124091480087,0.034999999999999934,0.044999999999999915,-0.7853981633974483,-0.47123889803846897
